2017-12-13 22:16:44 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (4ff61ccb339d42921dd082e85f9d143b)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 22:16:46 INFO  LoginInvalid:46 - Finished test
2017-12-13 22:22:13 INFO  LoginInvalid:41 - starting test
2017-12-13 22:22:16 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (85c4a36bd409a28201fef6d952cef41c)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 22:22:18 INFO  LoginInvalid:46 - Finished test
2017-12-13 22:22:18 INFO  LoginInvalid:41 - starting test
2017-12-13 22:22:20 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (85c4a36bd409a28201fef6d952cef41c)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 22:22:21 INFO  LoginInvalid:46 - Finished test
2017-12-13 22:22:21 INFO  LoginInvalid:41 - starting test
2017-12-13 22:22:23 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (85c4a36bd409a28201fef6d952cef41c)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 22:22:24 INFO  LoginInvalid:46 - Finished test
2017-12-13 22:28:38 INFO  LoginInvalid:41 - starting test
2017-12-13 22:28:41 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (c17f2f79697ee55b7ea67867df5032ae)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 22:28:43 INFO  LoginInvalid:46 - Finished test
2017-12-13 22:28:43 INFO  LoginInvalid:41 - starting test
2017-12-13 22:28:46 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (c17f2f79697ee55b7ea67867df5032ae)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 22:28:48 INFO  LoginInvalid:46 - Finished test
2017-12-13 22:28:48 INFO  LoginInvalid:41 - starting test
2017-12-13 22:28:50 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (c17f2f79697ee55b7ea67867df5032ae)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 22:28:53 INFO  LoginInvalid:46 - Finished test
2017-12-13 22:30:53 INFO  LoginInvalid:41 - starting test
2017-12-13 22:30:56 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (0d03335fa7fdc067556d8041fe04e224)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 22:30:57 INFO  LoginInvalid:46 - Finished test
2017-12-13 22:30:57 INFO  LoginInvalid:41 - starting test
2017-12-13 22:30:59 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (0d03335fa7fdc067556d8041fe04e224)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 22:31:00 INFO  LoginInvalid:46 - Finished test
2017-12-13 22:31:00 INFO  LoginInvalid:41 - starting test
2017-12-13 22:31:03 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (0d03335fa7fdc067556d8041fe04e224)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 22:31:04 INFO  LoginInvalid:46 - Finished test
2017-12-13 22:36:37 INFO  LoginInvalid:41 - starting test
2017-12-13 22:36:40 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (69ea7e4c4d2292926f985279daa96fdf)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 22:36:42 INFO  LoginInvalid:46 - Finished test
2017-12-13 22:36:42 INFO  LoginInvalid:41 - starting test
